experiment,undov,time
1a,under,464
1b,under,475
1c,under,461
2a,under,473
2b,under,471
2c,under,487
3a,under,531
3b,under,486
3c,under,478
4a,under,444
4b,under,441
4c,under,442
5a,under,468
5b,under,465
5c,under,462
6a,under,476
6b,under,477
6c,under,474
7a,under,443
7b,under,447
7c,under,449
8a,under,477
8b,under,474
8c,under,477
9a,under,492
9b,under,491
9c,under,502
1a,over,464
1b,over,475
1c,over,461
2a,over,473
2b,over,471
2c,over,487
3a,over,531
3b,over,486
3c,over,478
4a,over,444
4b,over,441
4c,over,442
5a,over,468
5b,over,465
5c,over,462
6a,over,476
6b,over,477
6c,over,474
7a,over,443
7b,over,447
7c,over,449
8a,over,477
8b,over,474
8c,over,477
9a,over,492
9b,over,491
9c,over,502
